transaction_id, customer_name, product_id, quantity, total_cost, transaction_date 
1     , Amy Bray            , 858   , 6  , 1601.69 , 2025-05-02
2     , Marcus Escobar      , 410   , 6  , 466.84  , 2025-05-02
3     , Monica Elliott      , 430   , 9  , 1256.54 , 2025-04-15
4     , Vanessa Larson      , 742   , 6  , 1262.87 , 2025-04-26
5     , Dawn Smith          , 153   , 5  , 2483.58 , 2025-02-28
6     , Sarah Stone         , 493   , 2  , 897.84  , 2025-02-28
7     , Brooke Smith        , 466   , 6  , 2700.3  , 2025-02-28
8     , Victor Sparks       , 705   , 10 , 3911.01 , 2025-05-01
9     , Lawrence James      , 372   , 2  , 126.04  , 2025-02-13
10    , Amanda Ochoa        , 23    , 7  , 3239.66 , 2025-04-11
11    , Joan Parks          , 178   , 1  , 474.57  , 2025-04-09
12    , Ms. Sally Oconnor   , 268   , 9  , 3410.18 , 2025-03-26
13    , Andrea Swanson      , 932   , 7  , 1825.47 , 2025-04-30
14    , Bradley Ryan        , 446   , 9  , 3552.55 , 2025-02-28
15    , Lauren Johnson      , 355   , 6  , 502.71  , 2025-04-15
16    , Thomas Franklin     , 794   , 10 , 1572.9  , 2025-03-13
17    , Cody Anderson       , 550   , 5  , 2103.54 , 2025-04-06
18    , Jamie Morgan        , 446   , 4  , 1578.91 , 2025-04-11
19    , Alexandra Wright    , 953   , 6  , 42.07   , 2025-02-20
20    , Amy Williams        , 230   , 9  , 3185.76 , 2025-04-09
21    , David Morton        , 792   , 5  , 1439.43 , 2025-02-16
22    , Michael Sheppard    , 341   , 2  , 586.49  , 2025-02-21
23    , Richard Smith       , 42    , 8  , 2572.13 , 2025-03-11
24    , Timothy Stephens    , 467   , 8  , 1039.8  , 2025-04-12
25    , Thomas Baker        , 222   , 10 , 3905.14 , 2025-03-01
26    , Lacey Robinson      , 171   , 9  , 3526.84 , 2025-03-09
27    , Danielle Miller     , 26    , 5  , 1874.55 , 2025-02-18
28    , William Williams    , 993   , 4  , 141.75  , 2025-04-12
29    , David Eaton         , 316   , 1  , 18.06   , 2025-03-21
30    , Ricky Phillips      , 189   , 1  , 244.3   , 2025-05-03
31    , Mr. James Horton    , 337   , 5  , 524.6   , 2025-05-08
32    , Jose Perry          , 263   , 7  , 2606.44 , 2025-03-02
33    , Antonio Adams       , 358   , 6  , 2301.42 , 2025-05-03
34    , Jonathan Johnson    , 484   , 9  , 2592.83 , 2025-05-05
35    , Anthony Cruz        , 828   , 5  , 517.1   , 2025-05-06
36    , Kathryn Rivera      , 158   , 2  , 687.41  , 2025-03-17
37    , Michele Key         , 471   , 8  , 3929.01 , 2025-02-22
38    , Connie Duncan       , 630   , 4  , 1988.19 , 2025-04-23
39    , Wendy Dillon        , 391   , 8  , 1991.57 , 2025-03-12
40    , Anthony Johnson     , 367   , 7  , 154.59  , 2025-03-26
41    , Brenda Wilkinson    , 922   , 10 , 298.35  , 2025-03-05
42    , Michael Turner      , 365   , 7  , 2379.53 , 2025-03-24
43    , Donna James         , 13    , 5  , 666.05  , 2025-04-29
44    , Crystal Ramirez     , 733   , 7  , 1479.55 , 2025-03-12
45    , Melissa Howard      , 530   , 9  , 3959.59 , 2025-05-12
46    , Dustin Lloyd        , 884   , 9  , 3750.2  , 2025-03-23
47    , Dr. Marcus Watson   , 575   , 2  , 311.86  , 2025-03-10
48    , Ashley Palmer       , 175   , 10 , 2247.6  , 2025-03-19
49    , Mitchell Baker      , 875   , 1  , 254.14  , 2025-02-21
50    , Dillon Johnson      , 566   , 1  , 399.38  , 2025-05-11
51    , Eric Nielsen        , 399   , 10 , 224.38  , 2025-03-05
52    , Nichole Chapman     , 955   , 8  , 2672.67 , 2025-02-25
53    , Lisa Klein          , 552   , 4  , 62.04   , 2025-05-01
54    , Michael Bell        , 728   , 6  , 2758.49 , 2025-02-25
55    , Jessica Holland     , 979   , 2  , 473.46  , 2025-02-23
56    , John Swanson        , 457   , 10 , 3769.86 , 2025-03-24
57    , Tina Brown          , 136   , 5  , 1449.9  , 2025-05-11
58    , Noah Harris         , 194   , 3  , 1225.11 , 2025-04-12
59    , Jared Greene        , 834   , 10 , 1512.25 , 2025-03-12
60    , Kelly Knight        , 754   , 3  , 281.37  , 2025-03-05
61    , Matthew Walsh       , 924   , 9  , 2562.5  , 2025-03-23
62    , Brittany Sparks     , 663   , 4  , 1779.41 , 2025-04-20
63    , Mark Thomas         , 30    , 4  , 1087.38 , 2025-05-10
64    , Alexandra Stuart    , 954   , 8  , 724.79  , 2025-05-04
65    , Rachel Beasley      , 191   , 8  , 3046.33 , 2025-02-24
66    , Alicia Thompson     , 16    , 6  , 1103.72 , 2025-02-27
67    , Charles Reyes       , 240   , 7  , 3028.48 , 2025-03-27
68    , Harry Mack          , 925   , 9  , 4491.77 , 2025-05-11
69    , Brandon Brown       , 547   , 3  , 82.34   , 2025-05-12
70    , Jamie Gomez         , 204   , 9  , 1813.22 , 2025-04-30
71    , Eric Marks          , 255   , 2  , 64.75   , 2025-02-27
72    , Kelly Robbins       , 768   , 9  , 434.67  , 2025-05-06
73    , Jason Stevens       , 729   , 7  , 2464.81 , 2025-02-27
74    , Mark Baker          , 113   , 10 , 201.25  , 2025-03-04
75    , Renee Beltran       , 448   , 9  , 1294.07 , 2025-04-24
76    , Kristin Johnson     , 724   , 1  , 438.27  , 2025-02-27
77    , Joshua Davis        , 379   , 3  , 61.34   , 2025-03-22
78    , Brandy Allen        , 182   , 2  , 457.55  , 2025-04-25
79    , Michael Fry         , 270   , 2  , 848.42  , 2025-04-11
80    , Jennifer Alexander  , 132   , 2  , 418.3   , 2025-04-24
81    , Andrew Smith        , 889   , 5  , 1605.76 , 2025-04-13
82    , Elizabeth Bruce     , 594   , 7  , 470.77  , 2025-04-08
83    , Emily Smith         , 109   , 9  , 1290.54 , 2025-04-26
84    , Dylan Roberts       , 170   , 5  , 1973.82 , 2025-03-18
85    , Mary Brown          , 653   , 9  , 3341.04 , 2025-04-04
86    , Susan Chambers      , 142   , 3  , 880.14  , 2025-03-29
87    , Ryan Anderson       , 102   , 8  , 626.76  , 2025-02-18
88    , Jeffrey Cooke       , 997   , 1  , 235.52  , 2025-03-01
89    , Taylor Gonzalez     , 97    , 5  , 506.48  , 2025-02-13
90    , Jessica Stevenson   , 457   , 10 , 3769.86 , 2025-04-18
91    , Allison Scott       , 353   , 8  , 426.3   , 2025-03-31
92    , Richard Bean        , 736   , 7  , 911.62  , 2025-02-23
93    , John Ramsey         , 356   , 5  , 1633.52 , 2025-02-17
94    , Kevin Hall          , 111   , 8  , 3315.6  , 2025-04-20
95    , Edward Calderon     , 877   , 2  , 228.91  , 2025-04-12
96    , Robert Nelson       , 787   , 9  , 1409.87 , 2025-04-29
97    , Justin Anderson     , 924   , 2  , 569.44  , 2025-03-14
98    , Selena White        , 464   , 3  , 418.8   , 2025-02-25
99    , Julie Robinson      , 469   , 9  , 1227.95 , 2025-05-12
100   , Janet Johnson       , 887   , 8  , 1997.33 , 2025-03-17
101   , Patrick Smith       , 504   , 5  , 1170.72 , 2025-05-01
102   , Sara Brooks         , 169   , 4  , 525.94  , 2025-02-13
103   , Thomas Pineda       , 880   , 8  , 3988.84 , 2025-05-01
104   , Kimberly Ali        , 389   , 8  , 2688.76 , 2025-04-24
105   , Rachel Wright       , 688   , 3  , 1212.31 , 2025-04-29
106   , Jonathan Arnold     , 358   , 7  , 2684.99 , 2025-02-13
107   , Angela Craig        , 47    , 1  , 179.16  , 2025-03-15
108   , Jimmy Pitts         , 456   , 5  , 1876.8  , 2025-04-28
109   , Mckenzie Hays       , 98    , 9  , 1632.75 , 2025-05-07
110   , Jeffrey Allen       , 924   , 1  , 284.72  , 2025-03-09
111   , Matthew Schultz     , 618   , 4  , 930.31  , 2025-05-07
112   , Daniel Glenn        , 747   , 4  , 611.08  , 2025-02-27
113   , Robert Baker        , 390   , 1  , 285.85  , 2025-04-19
114   , Robert Cruz         , 49    , 6  , 228.65  , 2025-03-06
115   , Morgan Baker        , 744   , 8  , 1263.51 , 2025-04-14
116   , Elizabeth Walls     , 240   , 2  , 865.28  , 2025-02-23
117   , David Wheeler       , 708   , 5  , 332.91  , 2025-03-16
118   , Michele Gill        , 447   , 5  , 1042.27 , 2025-04-18
119   , Latoya Thomas       , 597   , 4  , 221.03  , 2025-03-08
120   , Thomas Mueller      , 193   , 8  , 2264.7  , 2025-03-06
121   , Billy Green         , 685   , 8  , 1218.38 , 2025-03-26
122   , Timothy Brady       , 789   , 6  , 1451.63 , 2025-04-30
123   , Laura Bradley       , 880   , 8  , 3988.84 , 2025-03-28
124   , Natalie Gray        , 40    , 9  , 2088.09 , 2025-04-26
125   , Benjamin Moore      , 645   , 9  , 923.36  , 2025-04-30
126   , Steven Miller       , 136   , 2  , 579.96  , 2025-03-14
127   , Jerome Mays         , 536   , 9  , 3358.49 , 2025-03-18
128   , Jennifer Bailey     , 324   , 2  , 594.19  , 2025-03-16
129   , Melanie Mccullough  , 902   , 9  , 4434.84 , 2025-05-14
130   , Nancy Clark         , 466   , 1  , 450.05  , 2025-05-08
131   , Crystal Taylor      , 137   , 4  , 163.29  , 2025-02-25
132   , Karen Jefferson     , 148   , 10 , 2047.33 , 2025-02-28
133   , Joseph Jensen       , 275   , 8  , 3048.19 , 2025-04-22
134   , Nicole Berry        , 957   , 6  , 1403.97 , 2025-03-13
135   , Mark Harris         , 478   , 5  , 2411.28 , 2025-04-02
136   , Eric Sims           , 154   , 10 , 1055.55 , 2025-02-17
137   , Sharon Hall         , 999   , 8  , 3134.13 , 2025-04-08
138   , Jay Rodriguez       , 495   , 10 , 3438.54 , 2025-03-12
139   , Richard Howard      , 559   , 3  , 38.05   , 2025-02-20
140   , Courtney Shaw       , 743   , 7  , 2460.88 , 2025-05-02
141   , Katherine Henry     , 291   , 4  , 1323.71 , 2025-04-08
142   , Jeffrey Yoder       , 774   , 10 , 1543.52 , 2025-04-06
143   , Miguel Perry        , 218   , 10 , 1536.79 , 2025-05-08
144   , James Payne         , 367   , 7  , 154.59  , 2025-05-02
145   , John Adams          , 244   , 2  , 946.73  , 2025-04-06
146   , Brandon Nunez       , 278   , 9  , 4085.02 , 2025-03-30
147   , Robert Case         , 771   , 4  , 1947.33 , 2025-03-15
148   , Nathaniel Cantu     , 623   , 5  , 136.97  , 2025-03-07
149   , Mrs. Ashley Simon   , 323   , 10 , 3678.55 , 2025-03-14
150   , Haley Ramirez       , 240   , 8  , 3461.12 , 2025-04-12
151   , James Hall          , 820   , 6  , 673.3   , 2025-03-27
152   , Brian Johnston      , 679   , 4  , 1831.4  , 2025-02-20
153   , Jeff Brown          , 377   , 1  , 124.12  , 2025-03-07
154   , Jeffrey Singh       , 344   , 3  , 573.78  , 2025-05-07
155   , Carmen Cole         , 850   , 3  , 1236.4  , 2025-03-20
156   , Kristina Butler     , 162   , 9  , 284.25  , 2025-02-19
157   , Mr. Alfred Sanchez DDS, 227   , 10 , 2025.34 , 2025-05-04
158   , Martin Clayton      , 17    , 6  , 1580.29 , 2025-03-15
159   , Cameron Arroyo      , 333   , 5  , 1398.22 , 2025-03-29
160   , Barbara Price       , 933   , 1  , 266.93  , 2025-04-21
161   , Travis Elliott      , 537   , 1  , 364.76  , 2025-04-04
162   , Brian Hayes         , 659   , 2  , 727.63  , 2025-04-02
163   , Nicole Garcia       , 370   , 8  , 532.08  , 2025-02-16
164   , Patrick Hill        , 591   , 8  , 2212.81 , 2025-02-16
165   , Casey Harrington    , 271   , 1  , 244.37  , 2025-05-04
166   , Jessica Davis       , 974   , 5  , 2260.54 , 2025-04-23
167   , Lauren Flores       , 47    , 4  , 716.66  , 2025-03-31
168   , Gregory Norris      , 959   , 6  , 1440.23 , 2025-04-06
169   , Rachel Park         , 337   , 8  , 839.36  , 2025-04-02
170   , Chelsea Johnson     , 184   , 5  , 707.9   , 2025-04-02
171   , Destiny Bentley     , 252   , 5  , 1947.9  , 2025-04-22
172   , Laurie Carlson      , 323   , 4  , 1471.42 , 2025-03-13
173   , Melinda Stephens    , 451   , 9  , 225.0   , 2025-04-04
174   , Rebecca Silva       , 6     , 5  , 1988.52 , 2025-04-01
175   , Erica Clark         , 518   , 9  , 4228.71 , 2025-05-03
176   , Erica Stewart       , 806   , 1  , 462.19  , 2025-04-14
