transaction_id, customer_name, product_id, quantity, total_cost, transaction_date 
1     , Nicole Martinez     , 655   , 9  , 3697.24 , 2025-05-07
2     , Thomas Baker        , 292   , 3  , 1155.49 , 2025-04-02
3     , Rebecca Stevenson   , 84    , 1  , 367.11  , 2025-04-14
4     , Christopher Wilcox  , 215   , 6  , 160.82  , 2025-04-04
5     , Micheal Russo       , 555   , 2  , 201.41  , 2025-02-11
6     , Wendy Martin        , 908   , 10 , 3250.31 , 2025-03-11
7     , Kimberly Kennedy    , 957   , 6  , 1403.97 , 2025-05-07
8     , Robert Green        , 350   , 5  , 2227.61 , 2025-04-11
9     , Matthew Barnes      , 598   , 5  , 2132.27 , 2025-04-19
10    , James Bishop        , 159   , 10 , 2002.87 , 2025-04-27
11    , Pamela Sandoval     , 868   , 7  , 1426.84 , 2025-02-16
12    , Brian Webb MD       , 260   , 2  , 218.56  , 2025-03-15
13    , Michael Donovan     , 925   , 6  , 2994.51 , 2025-03-11
14    , Rachel Hawkins      , 889   , 1  , 321.15  , 2025-03-20
15    , Katrina Perez       , 973   , 4  , 327.29  , 2025-04-09
16    , Michael Miller      , 597   , 6  , 331.55  , 2025-04-30
17    , Mary Harris         , 128   , 10 , 4703.17 , 2025-04-28
18    , Kathleen Kelley     , 793   , 3  , 1200.99 , 2025-02-26
19    , John Flores PhD     , 835   , 1  , 310.43  , 2025-04-28
20    , Billy Franklin      , 302   , 4  , 1931.1  , 2025-05-02
21    , Kayla Martinez      , 580   , 2  , 528.44  , 2025-03-17
22    , Jimmy Miller        , 572   , 4  , 1891.28 , 2025-02-09
23    , Dakota Holland      , 495   , 5  , 1719.27 , 2025-02-08
24    , Bradley Kelly       , 41    , 3  , 580.82  , 2025-04-20
25    , Laura Spencer       , 829   , 7  , 749.62  , 2025-04-19
26    , Amanda Nichols      , 219   , 1  , 350.62  , 2025-03-15
27    , Darren Potts        , 123   , 10 , 309.2   , 2025-03-12
28    , Stephanie Crawford  , 863   , 8  , 2342.71 , 2025-03-01
29    , Regina Rosales      , 716   , 10 , 859.71  , 2025-03-08
30    , John Marshall       , 204   , 8  , 1611.75 , 2025-02-20
31    , Maureen Davis       , 581   , 1  , 357.15  , 2025-05-09
32    , Roy Simpson         , 49    , 2  , 76.22   , 2025-05-09
33    , Scott Kelly         , 239   , 10 , 637.65  , 2025-03-24
34    , Mary Lopez          , 142   , 2  , 586.76  , 2025-03-03
35    , Kristen Johnson     , 664   , 9  , 3546.62 , 2025-03-12
36    , Travis Flores       , 625   , 8  , 3992.23 , 2025-02-21
37    , Mary Macdonald      , 945   , 4  , 882.03  , 2025-02-18
38    , Martha Garcia       , 999   , 1  , 391.77  , 2025-03-05
39    , Dylan Reeves        , 516   , 5  , 2041.88 , 2025-03-24
40    , Jeanette Ballard    , 918   , 10 , 4372.91 , 2025-04-27
41    , Craig Watts         , 951   , 6  , 2268.45 , 2025-02-15
42    , Patricia Johnston   , 73    , 3  , 430.53  , 2025-04-13
43    , Bailey Orozco       , 757   , 6  , 1207.27 , 2025-04-11
44    , Monica Acevedo      , 580   , 1  , 264.22  , 2025-02-28
45    , William Pittman     , 433   , 9  , 932.13  , 2025-03-20
46    , Jennifer Anderson   , 84    , 3  , 1101.32 , 2025-02-19
47    , Diane Mclaughlin    , 457   , 4  , 1507.94 , 2025-04-25
48    , John Wheeler        , 128   , 2  , 940.63  , 2025-04-05
49    , Nancy Yu            , 641   , 10 , 1942.14 , 2025-03-22
50    , Carolyn Castro      , 527   , 10 , 4889.54 , 2025-04-21
51    , Olivia Jensen       , 366   , 6  , 234.71  , 2025-04-25
52    , Sharon Martinez     , 664   , 10 , 3940.68 , 2025-04-05
53    , Michael Murphy      , 22    , 7  , 3355.2  , 2025-03-17
54    , Mr. Shawn Garrett   , 484   , 3  , 864.28  , 2025-03-19
55    , John Garcia         , 833   , 5  , 1428.63 , 2025-04-05
56    , Brenda Randolph     , 815   , 3  , 1345.03 , 2025-04-21
57    , Steven Ball         , 78    , 2  , 816.33  , 2025-04-02
58    , John Stevens        , 860   , 3  , 220.29  , 2025-05-09
59    , Ryan Brennan        , 570   , 4  , 170.97  , 2025-03-18
60    , Alexander Hull      , 556   , 8  , 2767.98 , 2025-03-24
61    , Brianna Palmer      , 356   , 3  , 980.11  , 2025-02-11
62    , Megan Miller        , 965   , 10 , 1188.45 , 2025-04-02
63    , Sandra Carrillo     , 623   , 7  , 191.76  , 2025-04-20
64    , Thomas Paul         , 33    , 2  , 574.63  , 2025-02-21
65    , Angela Blackwell    , 579   , 6  , 968.68  , 2025-02-16
