transaction_id, customer_name, product_id, quantity, total_cost, transaction_date 
1     , Troy Pierce         , 141   , 10 , 2610.74 , 2025-03-16
2     , Ruben Hutchinson    , 282   , 6  , 2025.0  , 2025-02-09
3     , Michael Smith PhD   , 327   , 5  , 2160.94 , 2025-05-07
4     , Elizabeth Ruiz      , 560   , 2  , 763.14  , 2025-02-08
5     , Madison Hickman     , 553   , 8  , 1908.5  , 2025-04-08
6     , Walter Jordan       , 787   , 9  , 1409.87 , 2025-04-30
7     , Amanda Morales      , 410   , 5  , 389.03  , 2025-04-06
8     , Adam Lopez          , 265   , 10 , 4056.11 , 2025-04-30
9     , Wendy Rodgers       , 489   , 7  , 3288.33 , 2025-03-30
10    , Alexandra Jones     , 56    , 6  , 2898.78 , 2025-04-25
11    , Jason Fox           , 166   , 7  , 654.25  , 2025-03-17
12    , Jackson Grant       , 826   , 5  , 1394.43 , 2025-03-04
13    , Colin Hawkins       , 587   , 9  , 4019.62 , 2025-05-05
14    , David Sullivan      , 398   , 2  , 931.03  , 2025-02-12
15    , Tyler Diaz          , 837   , 6  , 1680.03 , 2025-05-07
16    , David Ramirez       , 618   , 4  , 930.31  , 2025-04-16
17    , Stephanie Madden    , 913   , 9  , 466.33  , 2025-03-24
18    , Cody Johnston       , 778   , 9  , 234.55  , 2025-04-18
19    , Margaret Benson     , 875   , 5  , 1270.71 , 2025-03-28
20    , Thomas Williams     , 452   , 4  , 695.7   , 2025-03-07
21    , Megan Charles       , 892   , 2  , 233.84  , 2025-05-04
22    , Julie Perez         , 555   , 8  , 805.65  , 2025-03-16
23    , John Wilkins        , 5     , 9  , 2820.03 , 2025-05-08
24    , Amanda Collins      , 480   , 8  , 1595.68 , 2025-03-04
25    , Julie Moore         , 379   , 9  , 184.03  , 2025-02-10
26    , Ariel Maynard       , 284   , 10 , 212.47  , 2025-04-20
27    , Cindy Gutierrez     , 261   , 3  , 658.57  , 2025-03-24
28    , Rebecca Schmitt     , 474   , 4  , 157.85  , 2025-03-18
